0.9	11.9	5890.0	
0.9	23.8	15.0	
0.9	35.7	9.0	
0.9	47.6	1.0	
0.9	59.5	2.0	
0.9	71.4	0.0	
0.9	83.3	0.0	
0.9	95.2	0.0	
0.9	107.10000000000001	0.0	
0.9	119.0	0.0	
1.8	11.9	6464.0	
1.8	23.8	80.0	
1.8	35.7	37.0	
1.8	47.6	10.0	
1.8	59.5	5.0	
1.8	71.4	3.0	
1.8	83.3	0.0	
1.8	95.2	1.0	
1.8	107.10000000000001	0.0	
1.8	119.0	0.0	
2.7	11.9	214.0	
2.7	23.8	6.0	
2.7	35.7	0.0	
2.7	47.6	0.0	
2.7	59.5	0.0	
2.7	71.4	0.0	
2.7	83.3	0.0	
2.7	95.2	0.0	
2.7	107.10000000000001	0.0	
2.7	119.0	0.0	
3.6	11.9	44.0	
3.6	23.8	1.0	
3.6	35.7	0.0	
3.6	47.6	0.0	
3.6	59.5	0.0	
3.6	71.4	0.0	
3.6	83.3	0.0	
3.6	95.2	0.0	
3.6	107.10000000000001	0.0	
3.6	119.0	1.0	
4.5	11.9	10.0	
4.5	23.8	0.0	
4.5	35.7	0.0	
4.5	47.6	0.0	
4.5	59.5	0.0	
4.5	71.4	0.0	
4.5	83.3	0.0	
4.5	95.2	0.0	
4.5	107.10000000000001	0.0	
4.5	119.0	0.0	
5.4	11.9	2.0	
5.4	23.8	0.0	
5.4	35.7	0.0	
5.4	47.6	0.0	
5.4	59.5	0.0	
5.4	71.4	0.0	
5.4	83.3	0.0	
5.4	95.2	0.0	
5.4	107.10000000000001	0.0	
5.4	119.0	0.0	
6.3	11.9	0.0	
6.3	23.8	0.0	
6.3	35.7	0.0	
6.3	47.6	0.0	
6.3	59.5	0.0	
6.3	71.4	0.0	
6.3	83.3	0.0	
6.3	95.2	0.0	
6.3	107.10000000000001	0.0	
6.3	119.0	0.0	
7.2	11.9	1.0	
7.2	23.8	0.0	
7.2	35.7	0.0	
7.2	47.6	0.0	
7.2	59.5	0.0	
7.2	71.4	0.0	
7.2	83.3	0.0	
7.2	95.2	0.0	
7.2	107.10000000000001	0.0	
7.2	119.0	0.0	
8.1	11.9	0.0	
8.1	23.8	0.0	
8.1	35.7	0.0	
8.1	47.6	0.0	
8.1	59.5	0.0	
8.1	71.4	0.0	
8.1	83.3	0.0	
8.1	95.2	0.0	
8.1	107.10000000000001	0.0	
8.1	119.0	0.0	
9.0	11.9	1.0	
9.0	23.8	0.0	
9.0	35.7	0.0	
9.0	47.6	0.0	
9.0	59.5	0.0	
9.0	71.4	0.0	
9.0	83.3	0.0	
9.0	95.2	0.0	
9.0	107.10000000000001	0.0	
9.0	119.0	0.0	
